:START_ID,:END_ID,type:TYPE
AJ_Michalka,Aly_Michalka,RELATIVE
AJ_Pritchard,Curtis_Pritchard,RELATIVE
AKA_(rapper),AKA_(rapper),AWARD
AKM_Amanul_Islam_Chowdhury,Serajul_Islam_Choudhury,RELATIVE
AKUT_Search_and_Rescue_Association,International_Rescue_Dog_Organisation,AFFILIATION
AK_47_Mayanja,Pallaso,RELATION
ALBOAN,Jesuits,AFFILIATION
ALQST,Yahya_Assiri,FOUNDEDBY
ALQST,Yahya_Assiri,KEYPERSON
ALS_Therapy_Development_Institute,Jamie_Heywood,FOUNDEDBY
ALS_Therapy_Development_Institute,Augie_Nieto,KEYPERSON
AMI_Insurance,IAG_New_Zealand,PARENTORGANISATION
ANTIAIDS_Foundation,Olena_Pinchuk,FOUNDEDBY
AOAC_International,Harvey_Washington_Wiley,FOUNDEDBY
AQA,Associated_Examining_Board,MERGEDWITH
AQA,NEAB,MERGEDWITH
AR_Murugadoss,Dileepan,RELATIVE
ASAPROSAR,Vicky_Guzman,FOUNDEDBY
ASAP_Rocky__ASAP_Rocky__1,Rihanna,PARTNER
ASEAN_Football_Federation,Asian_Football_Confederation,PARENTORGANISATION
ASN_Canada_FIA,Fédération_Internationale_de_l'Automobile,AFFILIATION
ASPIRA_Association,Antonia_Pantoja,FOUNDEDBY
AVP_Research_Foundation,P._R._Krishna_Kumar,FOUNDEDBY
A_Better_Fort,Alex_Smith_(entrepreneur),FOUNDEDBY
A_Martinez,Mare_Winningham,SPOUSE
A_Rocha,A_Rocha,KEYPERSON
Aadarsh_Balakrishna,Prashanth_Neel,RELATIVE
Aadesh_Bandekar,Suchitra_Bandekar,SPOUSE
Aadesh_Shrivastava,Vijayta_Pandit,SPOUSE
Aadhi_Pinisetty,Ravi_Raja_Pinisetty,PARENT
Aadhi_Pinisetty,Nikki_Galrani,SPOUSE
Aage_Fønss,Olaf_Fønss,RELATIVE
Aagha_Ali,Agha_Sikandar,PARENT
Aagha_Ali,Ali_Abbas_(actor),RELATION
Aagha_Ali,Ali_Azmat,RELATION
